frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
4.832000000000000000e+09,4.831999999999999851e+00,6.204314114238410754e-02,7.143536461165789220e-02,1.010199558836679008e-02
4.848000000000000000e+09,4.847999999999999865e+00,6.183837830033003108e-02,1.168361007482929953e-02,1.652231749270890223e-03
4.864000000000000000e+09,4.863999999999999879e+00,6.163496258223684354e-02,9.925546099139261058e-02,1.403616030389418824e-02
4.880000000000000000e+09,4.879999999999999893e+00,6.143288073770492019e-02,4.988041496162384791e-02,7.053813396593154074e-03
4.896000000000000000e+09,4.895999999999999908e+00,6.123211968954248713e-02,1.020613161567267627e-02,1.443294887851533743e-03
4.912000000000000000e+09,4.911999999999999922e+00,6.103266653094462785e-02,6.585371368065243147e-02,9.312669273769683120e-03
4.928000000000000000e+09,4.927999999999999936e+00,6.083450852272727361e-02,2.049956122915494103e-02,2.898934977460486829e-03
4.944000000000000000e+09,4.943999999999999950e+00,6.063763309061488693e-02,6.554227332629471853e-03,9.268627095181186052e-04
4.960000000000000000e+09,4.959999999999999964e+00,6.044202782258064482e-02,2.149138734822969576e-02,3.039193561339611875e-03
4.976000000000000000e+09,4.975999999999999979e+00,6.024768046623794199e-02,2.923688653981480062e-02,4.134519372140080598e-03
4.992000000000000000e+09,4.991999999999999993e+00,6.005457892628204841e-02,1.511272689719038442e-02,2.137158552679867263e-03
5.008000000000000000e+09,5.008000000000000007e+00,5.986271126198083187e-02,1.025484791346721603e-02,1.450184078213721502e-03
5.024000000000000000e+09,5.024000000000000021e+00,5.967206568471337264e-02,7.669960380373661013e-02,1.084643528407750780e-02
5.040000000000000000e+09,5.040000000000000036e+00,5.948263055555555456e-02,2.872441400360564029e-02,4.062048330267646092e-03
5.056000000000000000e+09,5.056000000000000050e+00,5.929439438291139036e-02,3.033780506087942891e-02,4.290205202308450434e-03
5.072000000000000000e+09,5.072000000000000064e+00,5.910734582018927624e-02,1.142580616274266464e-01,1.615774540761900913e-02
5.088000000000000000e+09,5.088000000000000078e+00,5.892147366352201016e-02,2.741362455474744692e-02,3.876683710073879161e-03
5.104000000000000000e+09,5.104000000000000092e+00,5.873676684952978261e-02,4.577094586652908498e-02,6.472674924145263228e-03
5.120000000000000000e+09,5.120000000000000107e+00,5.855321445312500206e-02,1.022670760557658071e-01,1.446204630950984581e-02
5.136000000000000000e+09,5.136000000000000121e+00,5.837080568535825409e-02,1.123397673286305812e-02,1.588647079946135104e-03
5.152000000000000000e+09,5.152000000000000135e+00,5.818952989130434655e-02,3.537886206374208503e-02,5.003083702760780307e-03
5.168000000000000000e+09,5.168000000000000149e+00,5.800937654798761500e-02,5.638952005771644127e-02,7.974295168085537844e-03
5.184000000000000000e+09,5.184000000000000163e+00,5.783033526234567651e-02,6.939431662020768311e-03,9.813361829480507764e-04
5.200000000000000000e+09,5.200000000000000178e+00,5.765239576923077147e-02,1.308932115705584674e-02,1.851019663749504550e-03
